pairX,pairY,value
movieFBLikes,actor1FBLikes,0.132722546
movieFBLikes,actor2FBLikes,0.235002594
movieFBLikes,actor3FBLikes,0.273903905
castMemberFBLikes,imdbScore,0.105952386
castMemberFBLikes,grossEarning,0.240583417
castMemberFBLikes,profit,0.100323532
castMemberFBLikes,ROI,-0.018680931
castMemberFBLikes,budget,0.153170822
castMemberFBLikes,duration,0.123814464
castMemberFBLikes,numFaceInPoster,0.086309632
castMemberFBLikes,numVotedUsers,0.253714175
castMemberFBLikes,numCriticsForReviews,0.244406898
castMemberFBLikes,movieFBLikes,0.208245
castMemberFBLikes,castMemberFBLikes,1
castMemberFBLikes,directorFBLikes,0.120783588
castMemberFBLikes,actor1FBLikes,0.945192867
castMemberFBLikes,actor2FBLikes,0.642790707
castMemberFBLikes,actor3FBLikes,0.490092653
directorFBLikes,imdbScore,0.189390609
directorFBLikes,grossEarning,0.142698008
directorFBLikes,profit,0.085141865
directorFBLikes,ROI,-0.006300452
directorFBLikes,budget,0.061672201
directorFBLikes,duration,0.18070859
directorFBLikes,numFaceInPoster,-0.047263884
directorFBLikes,numVotedUsers,0.30203348
directorFBLikes,numCriticsForReviews,0.179888524
directorFBLikes,movieFBLikes,0.164128009
directorFBLikes,castMemberFBLikes,0.120783588
directorFBLikes,directorFBLikes,1
directorFBLikes,actor1FBLikes,0.091458299
directorFBLikes,actor2FBLikes,0.118226283
directorFBLikes,actor3FBLikes,0.119322604
actor1FBLikes,imdbScore,0.092805327
actor1FBLikes,grossEarning,0.148658072
actor1FBLikes,profit,0.055767717
actor1FBLikes,ROI,-0.015674003
actor1FBLikes,budget,0.101727829
actor1FBLikes,duration,0.086901191
actor1FBLikes,numFaceInPoster,0.064327882
actor1FBLikes,numVotedUsers,0.183514791
actor1FBLikes,numCriticsForReviews,0.17283093
actor1FBLikes,movieFBLikes,0.132722546
actor1FBLikes,castMemberFBLikes,0.945192867
actor1FBLikes,directorFBLikes,0.091458299
actor1FBLikes,actor1FBLikes,1
actor1FBLikes,actor2FBLikes,0.391783096
actor1FBLikes,actor3FBLikes,0.253659766
actor2FBLikes,imdbScore,0.102372959
actor2FBLikes,grossEarning,0.256895273
actor2FBLikes,profit,0.107968805
actor2FBLikes,ROI,-0.013820931
actor2FBLikes,budget,0.162596288
actor2FBLikes,duration,0.131835519
actor2FBLikes,numFaceInPoster,0.072773469
actor2FBLikes,numVotedUsers,0.249100923
actor2FBLikes,numCriticsForReviews,0.25973012
actor2FBLikes,movieFBLikes,0.235002594
actor2FBLikes,castMemberFBLikes,0.642790707
actor2FBLikes,directorFBLikes,0.118226283
actor2FBLikes,actor1FBLikes,0.391783096
actor2FBLikes,actor2FBLikes,1
actor2FBLikes,actor3FBLikes,0.554468296
actor3FBLikes,imdbScore,0.064979307
actor3FBLikes,grossEarning,0.303467381
actor3FBLikes,profit,0.142455434
actor3FBLikes,ROI,-0.012203854
actor3FBLikes,budget,0.175099611
actor3FBLikes,duration,0.127860778
actor3FBLikes,numFaceInPoster,0.104421002
actor3FBLikes,numVotedUsers,0.27141058
actor3FBLikes,numCriticsForReviews,0.257778922
actor3FBLikes,movieFBLikes,0.273903905
actor3FBLikes,castMemberFBLikes,0.490092653
actor3FBLikes,directorFBLikes,0.119322604
actor3FBLikes,actor1FBLikes,0.253659766
actor3FBLikes,actor2FBLikes,0.554468296
actor3FBLikes,actor3FBLikes,1
