source,target,id,weight
American History X,Tony Kaye,121,1
American History X,Ethan Suplee,122,1
American History X,Beverly D'Angelo,123,1
American History X,Stacy Keach,124,1
The Usual Suspects,Bryan Singer,125,1
The Usual Suspects,Kevin Spacey,126,1
The Usual Suspects,Chazz Palminteri,127,1
The Usual Suspects,Kevin Pollak,128,1
Once Upon a Time in the West,Sergio Leone,129,1
Once Upon a Time in the West,Claudia Cardinale,130,1
Once Upon a Time in the West,Woody Strode,131,1
Once Upon a Time in the West,Jack Elam,132,1
Running Forever,Mike Mayhall,133,1
Running Forever,David Raizor,134,1
Running Forever,Cody Howard,135,1
Running Forever,Martin Kove,136,1
It's a Wonderful Life,Frank Capra,137,1
It's a Wonderful Life,Donna Reed,138,1
It's a Wonderful Life,Lionel Barrymore,139,1
It's a Wonderful Life,Thomas Mitchell,140,1
Modern Times,Charles Chaplin,141,1
Modern Times,Paulette Goddard,142,1
Modern Times,Stanley Blystone,143,1
Modern Times,Fred Malatesta,144,1
Casablanca,Michael Curtiz,145,1
Casablanca,Humphrey Bogart,146,1
Casablanca,Claude Rains,147,1
Casablanca,Conrad Veidt,148,1
The Dark Knight Rises,Christopher Nolan,149,1
The Dark Knight Rises,Tom Hardy,150,1
The Dark Knight Rises,Christian Bale,151,1
The Dark Knight Rises,Joseph Gordon-Levitt,152,1
Gladiator,Ridley Scott,153,1
Gladiator,Djimon Hounsou,154,1
Gladiator,Connie Nielsen,155,1
Gladiator,Oliver Reed,156,1
Terminator 2: Judgment Day,James Cameron,157,1
Terminator 2: Judgment Day,Joe Morton,158,1
Terminator 2: Judgment Day,Jenette Goldstein,159,1
Terminator 2: Judgment Day,S. Epatha Merkerson,160,1
Django Unchained,Quentin Tarantino,161,1
Django Unchained,Leonardo DiCaprio,162,1
Django Unchained,Christoph Waltz,163,1
Django Unchained,Ato Essandoh,164,1
The Departed,Martin Scorsese,165,1
The Departed,Leonardo DiCaprio,166,1
The Departed,Matt Damon,167,1
The Departed,Ray Winstone,168,1
The Lion King,Roger Allers,169,1
The Lion King,Matthew Broderick,170,1
The Lion King,Nathan Lane,171,1
The Lion King,Niketa Calame,172,1
The Green Mile,Frank Darabont,173,1
The Green Mile,Tom Hanks,174,1
The Green Mile,Jeffrey DeMunn,175,1
The Green Mile,Michael Jeter,176,1
The Prestige,Christopher Nolan,177,1
The Prestige,Christian Bale,178,1
The Prestige,Hugh Jackman,179,1
The Prestige,Scarlett Johansson,180,1
The Pianist,Roman Polanski,181,1
The Pianist,Emilia Fox,182,1
The Pianist,Frank Finlay,183,1
The Pianist,Ed Stoppard,184,1
Apocalypse Now,Francis Ford Coppola,185,1
Apocalypse Now,Harrison Ford,186,1
Apocalypse Now,Marlon Brando,187,1
Apocalypse Now,Robert Duvall,188,1
Raiders of the Lost Ark,Steven Spielberg,189,1
Raiders of the Lost Ark,Harrison Ford,190,1
Raiders of the Lost Ark,Karen Allen,191,1
Raiders of the Lost Ark,William Hootkins,192,1
Psycho,Alfred Hitchcock,193,1
Psycho,Janet Leigh,194,1
Psycho,Vera Miles,195,1
Psycho,John Gavin,196,1
Back to the Future,Robert Zemeckis,197,1
Back to the Future,Lea Thompson,198,1
Back to the Future,Thomas F. Wilson,199,1
Back to the Future,J.J. Cohen,200,1
Alien,Ridley Scott,201,1
Alien,Tom Skerritt,202,1
Alien,Yaphet Kotto,203,1
Alien,Bolaji Badejo,204,1
Memento,Christopher Nolan,205,1
Memento,Callum Rennie,206,1
Memento,Thomas Lennon,207,1
Memento,Jorja Fox,208,1
Airlift,Raja Menon,209,1
Airlift,Nimrat Kaur,210,1
Airlift,Sameer Ali Khan,211,1
Airlift,Purab Kohli,212,1
Samsara,Ron Fricke,213,1
Samsara,Collin Alfredo St. Dic,214,1
Samsara,Balinese Tari Legong Dancers,215,1
Samsara,Puti Sri Candra Dewi,216,1
Whiplash,Damien Chazelle,217,1
Whiplash,J.K. Simmons,218,1
Whiplash,Melissa Benoist,219,1
Whiplash,Chris Mulkey,220,1
The Lives of Others,Florian Henckel von Donnersmarck,221,1
The Lives of Others,Sebastian Koch,222,1
The Lives of Others,Ulrich MÌÎ_he,223,1
The Lives of Others,Martina Gedeck,224,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,225,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,George C. Scott,226,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Slim Pickens,227,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Keenan Wynn,228,1
Children of Heaven,Majid Majidi,229,1
Children of Heaven,Bahare Seddiqi,230,1
Children of Heaven,Amir Farrokh Hashemian,231,1
Children of Heaven,Mohammad Amir Naji,232,1
WALLÌ´ÌÁE,Andrew Stanton,233,1
WALLÌ´ÌÁE,John Ratzenberger,234,1
WALLÌ´ÌÁE,Fred Willard,235,1
WALLÌ´ÌÁE,Jeff Garlin,236,1
Braveheart,Mel Gibson,237,1
Braveheart,Mhairi Calvey,238,1
Braveheart,Patrick McGoohan,239,1
Braveheart,James Robinson,240,1
AmÌÎå©lie,Jean-Pierre Jeunet,241,1
AmÌÎå©lie,Mathieu Kassovitz,242,1
AmÌÎå©lie,Jamel Debbouze,243,1
AmÌÎå©lie,Isabelle Nanty,244,1
Baahubali: The Beginning,S.S. Rajamouli,245,1
Baahubali: The Beginning,Tamannaah Bhatia,246,1
Baahubali: The Beginning,Anushka Shetty,247,1
Baahubali: The Beginning,Prabhas,248,1
Lion of the Desert,Moustapha Akkad,249,1
Lion of the Desert,Oliver Reed,250,1
Lion of the Desert,Rod Steiger,251,1
Lion of the Desert,John Gielgud,252,1
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,253,1
Star Wars: Episode VI - Return of the Jedi,Harrison Ford,254,1
Star Wars: Episode VI - Return of the Jedi,Ian McDiarmid,255,1
Star Wars: Episode VI - Return of the Jedi,Kenny Baker,256,1
Once Upon a Time in America,Sergio Leone,257,1
Once Upon a Time in America,Robert De Niro,258,1
Once Upon a Time in America,Burt Young,259,1
Once Upon a Time in America,Treat Williams,260,1
Princess Mononoke,Hayao Miyazaki,261,1
Princess Mononoke,Minnie Driver,262,1
Princess Mononoke,Jada Pinkett Smith,263,1
Princess Mononoke,Billy Crudup,264,1
The Shining,Stanley Kubrick,265,1
The Shining,Scatman Crothers,266,1
The Shining,Shelley Duvall,267,1
The Shining,Joe Turkel,268,1
Aliens,James Cameron,269,1
Aliens,Michael Biehn,270,1
Aliens,Carrie Henn,271,1
Aliens,Jenette Goldstein,272,1
American Beauty,Sam Mendes,273,1
American Beauty,Kevin Spacey,274,1
American Beauty,Peter Gallagher,275,1
American Beauty,Ara Celi,276,1
Lawrence of Arabia,David Lean,277,1
