id,componentnumber,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted degree,degree,modularity_class,pageranks,clustering,triangles,eigencentrality,
Min-sik Choi,35,2,0.571428571,0.625,0,1,1,42,0.001587592,0,0,0.035444876,
Ji-tae Yu,35,2,0.571428571,0.625,0,1,1,42,0.001587592,0,0,0.035444876,
Hye-jeong Kang,35,2,0.571428571,0.625,0,1,1,42,0.001587592,0,0,0.035444876,
To Kill a Mockingbird,0,13,0.119809394,0.159804463,522,4,4,7,0.004386658,0,0,0.205495244,
Robert Mulligan,0,14,0.107055961,0.131104438,0,1,1,7,0.00129592,0,0,0.06744047,
Brock Peters,0,14,0.107055961,0.131104438,0,1,1,7,0.00129592,0,0,0.06744047,
William Windom,0,14,0.107055961,0.131104438,0,1,1,7,0.00129592,0,0,0.06744047,
Reservoir Dogs,0,19,0.114211551,0.153191984,349,4,3,10,0.003528637,0,0,0.135414579,
Steve Buscemi,0,20,0.102564103,0.127384969,0,1,1,10,0.001363567,0,0,0.048912349,
Chris Penn,0,20,0.102564103,0.127384969,0,1,1,10,0.001363567,0,0,0.048912349,
A Separation,36,1,1,1,6,4,4,43,0.005756168,0,0,0.071381517,
Asghar Farhadi,36,2,0.571428571,0.625,0,1,1,43,0.001587592,0,0,0.035444876,
Shahab Hosseini,36,2,0.571428571,0.625,0,1,1,43,0.001587592,0,0,0.035444876,
Leila Hatami,36,2,0.571428571,0.625,0,1,1,43,0.001587592,0,0,0.035444876,
Peyman Moaadi,36,2,0.571428571,0.625,0,1,1,43,0.001587592,0,0,0.035444876,
The Other Dream Team,37,1,1,1,6,4,4,44,0.005756168,0,0,0.071381517,
Marius A. Markevicius,37,2,0.571428571,0.625,0,1,1,44,0.001587592,0,0,0.035444876,
Tommy Sheppard,37,2,0.571428571,0.625,0,1,1,44,0.001587592,0,0,0.035444876,
Greg Speirs,37,2,0.571428571,0.625,0,1,1,44,0.001587592,0,0,0.035444876,
Mickey Hart,37,2,0.571428571,0.625,0,1,1,44,0.001587592,0,0,0.035444876,
A Charlie Brown Christmas,38,1,1,1,3,4,3,45,0.004644548,0,0,0.04246847,
Bill Melendez,38,2,0.6,0.666666667,0,2,1,45,0.001680227,0,0,0.024267796,
Peter Robbins,38,2,0.6,0.666666667,0,1,1,45,0.001680227,0,0,0.024267796,
Christopher Shea,38,2,0.6,0.666666667,0,1,1,45,0.001680227,0,0,0.024267796,
Toy Story 3,0,19,0.132830189,0.188007484,1376,4,4,46,0.004121444,0,0,0.31511858,
Lee Unkrich,0,20,0.117333333,0.150417177,0,1,1,46,0.001239673,0,0,0.097824826,
Don Rickles,0,20,0.117333333,0.150417177,0,1,1,46,0.001239673,0,0,0.097824826,
Up,0,21,0.107909258,0.155192746,1194,4,4,46,0.00446987,0,0,0.198191548,
Pete Docter,0,22,0.097886541,0.134559198,688,2,2,46,0.002381565,0,0,0.112333243,
Delroy Lindo,0,22,0.097452935,0.126509956,0,1,1,46,0.001313761,0,0,0.068804321,
Jess Harnell,0,22,0.097452935,0.126509956,0,1,1,46,0.001313761,0,0,0.068804321,
Inside Out,0,23,0.08947636,0.124951474,522,4,4,46,0.005021418,0,0,0.101600633,
Amy Poehler,0,24,0.0821662,0.104602967,0,1,1,46,0.001431001,0,0,0.043528922,
Mindy Kaling,0,24,0.0821662,0.104602967,0,1,1,46,0.001431001,0,0,0.043528922,
Phyllis Smith,0,24,0.0821662,0.104602967,0,1,1,46,0.001431001,0,0,0.043528922,
Batman Begins,0,19,0.141365462,0.207188745,1608.12737,4,4,4,0.00331252,0,0,0.685358329,
Inglourious Basterds,0,19,0.120136519,0.174252426,889.3753968,4,4,10,0.00389473,0,0,0.291803246,
Michael Fassbender,0,20,0.107317073,0.13999299,0,1,1,10,0.001191411,0,0,0.09321377,
Indiana Jones and the Last Crusade,0,15,0.151072961,0.200957817,1685.210653,4,4,7,0.003931172,0,0,0.390045049,
Julian Glover,0,16,0.131343284,0.160073812,0,1,1,7,0.001199132,0,0,0.113693436,
Alison Doody,0,16,0.131343284,0.160073812,0,1,1,7,0.001199132,0,0,0.113693436,
L.A. Confidential,12,3,0.461538462,0.583333333,30,4,4,35,0.005015088,0,0,0.12245357,
Curtis Hanson,12,4,0.324324324,0.388888889,0,1,1,35,0.001429844,0,0,0.049903689,
Matt McCoy,12,4,0.324324324,0.388888889,0,1,1,35,0.001429844,0,0,0.049903689,
Paul Guilfoyle,12,4,0.324324324,0.388888889,0,1,1,35,0.001429844,0,0,0.049903689,
Toy Story,0,19,0.132830189,0.188007484,1376,4,4,46,0.004121444,0,0,0.31511858,
John Lasseter,0,20,0.117333333,0.150417177,0,1,1,46,0.001239673,0,0,0.097824826,
Jim Varney,0,20,0.117333333,0.150417177,0,1,1,46,0.001239673,0,0,0.097824826,
Scarface,0,15,0.116788321,0.156927479,3562,4,4,7,0.00418886,0,0,0.183162049,
Brian De Palma,0,16,0.104637337,0.128792459,0,1,1,7,0.00125395,0,0,0.063429899,
F. Murray Abraham,0,16,0.107186358,0.141267658,3120,2,2,33,0.002221467,0,0,0.113859173,
Mary Elizabeth Mastrantonio,0,16,0.104637337,0.128792459,0,1,1,7,0.00125395,0,0,0.063429899,
Eternal Sunshine of the Spotless Mind,39,1,1,1,6,4,4,47,0.005756168,0,0,0.071381517,
Michel Gondry,39,2,0.571428571,0.625,0,1,1,47,0.001587592,0,0,0.035444876,
Kate Winslet,39,2,0.571428571,0.625,0,1,1,47,0.001587592,0,0,0.035444876,
Kirsten Dunst,39,2,0.571428571,0.625,0,1,1,47,0.001587592,0,0,0.035444876,
Tom Wilkinson,39,2,0.571428571,0.625,0,1,1,47,0.001587592,0,0,0.035444876,
Amadeus,0,17,0.098931984,0.137140218,3018,4,4,33,0.004549776,0,0,0.125535312,
Jeffrey Jones,0,18,0.090071648,0.113626937,0,1,1,33,0.001330713,0,0,0.050429274,
Tom Hulce,0,18,0.090071648,0.113626937,0,1,1,33,0.001330713,0,0,0.050429274,
Raging Bull,0,13,0.150556031,0.189945487,1571.297985,4,4,10,0.004024845,0,0,0.250439246,
Cathy Moriarty,0,14,0.130952381,0.153638785,0,1,1,10,0.001219067,0,0,0.080865634,
Frank Vincent,0,14,0.130952381,0.153638785,0,1,1,10,0.001219067,0,0,0.080865634,
Metropolis,40,1,1,1,6,4,4,48,0.005756168,0,0,0.071381517,
Fritz Lang,40,2,0.571428571,0.625,0,1,1,48,0.001587592,0,0,0.035444876,
Brigitte Helm,40,2,0.571428571,0.625,0,1,1,48,0.001587592,0,0,0.035444876,
Gustav Fr��_��_��_ hlich,40,2,0.571428571,0.625,0,1,1,48,0.001587592,0,0,0.035444876,
Rudolf Klein-Rogge,40,2,0.571428571,0.625,0,1,1,48,0.001587592,0,0,0.035444876,
Unforgiven,0,17,0.136752137,0.183969848,1295.211294,4,3,2,0.003047707,0,0,0.250352047,
