id,componentnumber,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted degree,degree,modularity_class,pageranks,clustering,triangles,eigencentrality,
Minoru Chiaki,8,2,0.571428571,0.625,0,1,1,14,0.001587592,0,0,0.035444876,
Kamatari Fujiwara,8,2,0.571428571,0.625,0,1,1,14,0.001587592,0,0,0.035444876,
Butterfly Girl,9,1,1,1,6,4,4,15,0.005756168,0,0,0.071381517,
Cary Bell,9,2,0.571428571,0.625,0,1,1,15,0.001587592,0,0,0.035444876,
Abigail Evans,9,2,0.571428571,0.625,0,1,1,15,0.001587592,0,0,0.035444876,
Stacie Evans,9,2,0.571428571,0.625,0,1,1,15,0.001587592,0,0,0.035444876,
Emily Gorell,9,2,0.571428571,0.625,0,1,1,15,0.001587592,0,0,0.035444876,
Interstellar,0,19,0.12281926,0.174841515,522,4,4,4,0.004363267,0,0,0.362352712,
Matthew McConaughey,0,20,0.109452736,0.140860225,0,1,1,4,0.001290923,0,0,0.102974671,
Anne Hathaway,0,20,0.109452736,0.140860225,0,1,1,4,0.001290923,0,0,0.102974671,
Mackenzie Foy,0,20,0.109452736,0.140860225,0,1,1,4,0.001290923,0,0,0.102974671,
Saving Private Ryan,0,17,0.158131177,0.218926368,4337.47533,4,4,1,0.003728762,0,0,0.391428084,
Vin Diesel,0,18,0.136645963,0.171895084,0,1,1,1,0.001156175,0,0,0.116678817,
Matt Damon,0,16,0.161764706,0.211534851,3597.285753,3,3,1,0.002866463,0,0,0.269040547,
Se7en,0,19,0.130467013,0.189964744,1452.262576,4,4,5,0.003768245,0,0,0.374113607,
Reg E. Cathey,0,20,0.115485564,0.151258445,0,1,1,5,0.001164526,0,0,0.110409954,
The Silence of the Lambs,10,1,1,1,6,4,4,16,0.005756168,0,0,0.071381517,
Jonathan Demme,10,2,0.571428571,0.625,0,1,1,16,0.001587592,0,0,0.035444876,
Anthony Hopkins,10,2,0.571428571,0.625,0,1,1,16,0.001587592,0,0,0.035444876,
Scott Glenn,10,2,0.571428571,0.625,0,1,1,16,0.001587592,0,0,0.035444876,
Anthony Heald,10,2,0.571428571,0.625,0,1,1,16,0.001587592,0,0,0.035444876,
Spirited Away,0,21,0.092778071,0.123613876,522,4,4,1,0.005068964,0,0,0.096930403,
Hayao Miyazaki,0,20,0.101851852,0.131824391,688,2,2,1,0.002432896,0,0,0.092685747,
Bunta Sugawara,0,22,0.084942085,0.103990414,0,1,1,1,0.00144113,0,0,0.042675585,
RyÌÎÌönosuke Kamiki,0,22,0.084942085,0.103990414,0,1,1,1,0.00144113,0,0,0.042675585,
Miyu Irino,0,22,0.084942085,0.103990414,0,1,1,1,0.00144113,0,0,0.042675585,
American History X,11,1,1,1,6,4,4,17,0.005756168,0,0,0.071381517,
Tony Kaye,11,2,0.571428571,0.625,0,1,1,17,0.001587592,0,0,0.035444876,
Ethan Suplee,11,2,0.571428571,0.625,0,1,1,17,0.001587592,0,0,0.035444876,
Beverly D'Angelo,11,2,0.571428571,0.625,0,1,1,17,0.001587592,0,0,0.035444876,
Stacy Keach,11,2,0.571428571,0.625,0,1,1,17,0.001587592,0,0,0.035444876,
The Usual Suspects,12,3,0.461538462,0.583333333,30,4,4,35,0.005015088,0,0,0.12245357,
Bryan Singer,12,4,0.324324324,0.388888889,0,1,1,35,0.001429844,0,0,0.049903689,
Kevin Spacey,12,2,0.571428571,0.625,48,3,3,35,0.003563139,0,0,0.149711066,
Chazz Palminteri,12,4,0.324324324,0.388888889,0,1,1,35,0.001429844,0,0,0.049903689,
Kevin Pollak,12,4,0.324324324,0.388888889,0,1,1,35,0.001429844,0,0,0.049903689,
Once Upon a Time in the West,0,15,0.114508783,0.151631087,522,4,4,2,0.004795325,0,0,0.137347591,
Claudia Cardinale,0,16,0.102803738,0.125246589,0,1,1,2,0.001382842,0,0,0.052909776,
Woody Strode,0,16,0.102803738,0.125246589,0,1,1,2,0.001382842,0,0,0.052909776,
Jack Elam,0,16,0.102803738,0.125246589,0,1,1,2,0.001382842,0,0,0.052909776,
Running Forever,13,1,1,1,6,4,4,18,0.005756168,0,0,0.071381517,
Mike Mayhall,13,2,0.571428571,0.625,0,1,1,18,0.001587592,0,0,0.035444876,
David Raizor,13,2,0.571428571,0.625,0,1,1,18,0.001587592,0,0,0.035444876,
Cody Howard,13,2,0.571428571,0.625,0,1,1,18,0.001587592,0,0,0.035444876,
Martin Kove,13,2,0.571428571,0.625,0,1,1,18,0.001587592,0,0,0.035444876,
It's a Wonderful Life,14,1,1,1,6,4,4,19,0.005756168,0,0,0.071381517,
Frank Capra,14,2,0.571428571,0.625,0,1,1,19,0.001587592,0,0,0.035444876,
Donna Reed,14,2,0.571428571,0.625,0,1,1,19,0.001587592,0,0,0.035444876,
Lionel Barrymore,14,2,0.571428571,0.625,0,1,1,19,0.001587592,0,0,0.035444876,
Thomas Mitchell,14,2,0.571428571,0.625,0,1,1,19,0.001587592,0,0,0.035444876,
Modern Times,15,1,1,1,6,4,4,20,0.005756168,0,0,0.071381517,
Charles Chaplin,15,2,0.571428571,0.625,0,1,1,20,0.001587592,0,0,0.035444876,
Paulette Goddard,15,2,0.571428571,0.625,0,1,1,20,0.001587592,0,0,0.035444876,
Stanley Blystone,15,2,0.571428571,0.625,0,1,1,20,0.001587592,0,0,0.035444876,
Fred Malatesta,15,2,0.571428571,0.625,0,1,1,20,0.001587592,0,0,0.035444876,
Casablanca,16,3,0.533333333,0.6875,18,4,4,36,0.005200358,0,0,0.094878058,
Michael Curtiz,16,4,0.363636364,0.447916667,0,1,1,36,0.001469281,0,0,0.042286891,
Humphrey Bogart,16,4,0.363636364,0.447916667,0,1,1,36,0.001469281,0,0,0.042286891,
Claude Rains,16,2,0.571428571,0.625,16,2,2,36,0.002575366,0,0,0.084573783,
Conrad Veidt,16,4,0.363636364,0.447916667,0,1,1,36,0.001469281,0,0,0.042286891,
The Dark Knight Rises,0,19,0.12281926,0.174841515,104.5428877,4,4,4,0.003272186,0,0,0.599536526,
Gladiator,17,3,0.461538462,0.583333333,46,4,4,32,0.004827454,0,0,0.118504098,
Ridley Scott,17,4,0.413793103,0.506944444,32,2,2,32,0.002476555,0,0,0.09180296,
Djimon Hounsou,17,4,0.324324324,0.388888889,0,1,1,32,0.001389972,0,0,0.049146688,
Connie Nielsen,17,4,0.324324324,0.388888889,0,1,1,32,0.001389972,0,0,0.049146688,
Oliver Reed,17,4,0.413793103,0.506944444,32,2,2,32,0.002476555,0,0,0.09180296,
Terminator 2: Judgment Day,18,3,0.583333333,0.738095238,11.5,4,4,34,0.004644548,0,0,0.12245357,
James Cameron,18,2,0.583333333,0.642857143,4.5,2,2,34,0.002338743,0,0,0.099807377,
Joe Morton,18,4,0.388888889,0.476190476,0,1,1,34,0.00135097,0,0,0.049903689,
Jenette Goldstein,18,2,0.583333333,0.642857143,4.5,2,2,34,0.002338743,0,0,0.099807377,
S. Epatha Merkerson,18,4,0.388888889,0.476190476,0,1,1,34,0.00135097,0,0,0.049903689,
Django Unchained,0,17,0.139793487,0.189537102,2003.16917,4,4,10,0.003818718,0,0,0.2779981,
Christoph Waltz,0,18,0.12716763,0.167421984,323.8429182,2,2,10,0.002003472,0,0,0.181338835,
Ato Essandoh,0,18,0.122733612,0.152293016,0,1,1,10,0.001175257,0,0,0.088125065,
The Departed,0,15,0.166508988,0.214562615,4611.719575,4,4,10,0.003725826,0,0,0.289553175,
Ray Winstone,0,16,0.142857143,0.170458913,0,1,1,10,0.001155532,0,0,0.090455586,
The Lion King,19,1,1,1,6,4,4,21,0.005756168,0,0,0.071381517,
Roger Allers,19,2,0.571428571,0.625,0,1,1,21,0.001587592,0,0,0.035444876,
Matthew Broderick,19,2,0.571428571,0.625,0,1,1,21,0.001587592,0,0,0.035444876,
Nathan Lane,19,2,0.571428571,0.625,0,1,1,21,0.001587592,0,0,0.035444876,
Niketa Calame,19,2,0.571428571,0.625,0,1,1,21,0.001587592,0,0,0.035444876,
The Green Mile,0,19,0.139793487,0.192227648,1539.521556,4,4,46,0.003830309,0,0,0.293364841,
Michael Jeter,0,20,0.122733612,0.154322095,0,1,1,46,0.001177756,0,0,0.091190126,
The Prestige,0,19,0.12281926,0.174841515,358.7361111,4,4,4,0.003738544,0,0,0.515405691,
Hugh Jackman,0,20,0.109452736,0.140860225,0,1,1,4,0.001158177,0,0,0.138139453,
Scarlett Johansson,0,20,0.109452736,0.140860225,0,1,1,4,0.001158177,0,0,0.138139453,
The Pianist,20,1,1,1,6,4,4,22,0.005756168,0,0,0.071381517,
Roman Polanski,20,2,0.571428571,0.625,0,1,1,22,0.001587592,0,0,0.035444876,
Emilia Fox,20,2,0.571428571,0.625,0,1,1,22,0.001587592,0,0,0.035444876,
Frank Finlay,20,2,0.571428571,0.625,0,1,1,22,0.001587592,0,0,0.035444876,
Ed Stoppard,20,2,0.571428571,0.625,0,1,1,22,0.001587592,0,0,0.035444876,
Apocalypse Now,0,13,0.138473643,0.189064518,2341.781136,4,4,7,0.003273918,0,0,0.511122824,
Raiders of the Lost Ark,0,15,0.151072961,0.200957817,1685.210653,4,4,1,0.003931172,0,0,0.390045049,
Karen Allen,0,16,0.131343284,0.160073812,0,1,1,1,0.001199132,0,0,0.113693436,
William Hootkins,0,16,0.131343284,0.160073812,0,1,1,1,0.001199132,0,0,0.113693436,
Psycho,21,1,1,1,6,4,4,23,0.005756168,0,0,0.071381517,
Alfred Hitchcock,21,2,0.571428571,0.625,0,1,1,23,0.001587592,0,0,0.035444876,
Janet Leigh,21,2,0.571428571,0.625,0,1,1,23,0.001587592,0,0,0.035444876,
Vera Miles,21,2,0.571428571,0.625,0,1,1,23,0.001587592,0,0,0.035444876,
John Gavin,21,2,0.571428571,0.625,0,1,1,23,0.001587592,0,0,0.035444876,
Back to the Future,0,21,0.104949314,0.141197887,522,4,4,6,0.004986786,0,0,0.104294448,
Lea Thompson,0,22,0.095032397,0.117773033,0,1,1,6,0.001423592,0,0,0.044003572,
Thomas F. Wilson,0,22,0.095032397,0.117773033,0,1,1,6,0.001423592,0,0,0.044003572,
J.J. Cohen,0,22,0.095032397,0.117773033,0,1,1,6,0.001423592,0,0,0.044003572,
Alien,17,5,0.352941176,0.529166667,30,4,4,32,0.005108905,0,0,0.096785809,
Tom Skerritt,17,6,0.266666667,0.356944444,0,1,1,32,0.00144978,0,0,0.042656272,
Yaphet Kotto,17,6,0.266666667,0.356944444,0,1,1,32,0.00144978,0,0,0.042656272,
Bolaji Badejo,17,6,0.266666667,0.356944444,0,1,1,32,0.00144978,0,0,0.042656272,
Memento,0,19,0.12281926,0.174841515,522,4,4,4,0.004363267,0,0,0.362352712,
Callum Rennie,0,20,0.109452736,0.140860225,0,1,1,4,0.001290923,0,0,0.102974671,
Thomas Lennon,0,20,0.109452736,0.140860225,0,1,1,4,0.001290923,0,0,0.102974671,
Jorja Fox,0,20,0.109452736,0.140860225,0,1,1,4,0.001290923,0,0,0.102974671,
Airlift,22,1,1,1,6,4,4,24,0.005756168,0,0,0.071381517,
Raja Menon,22,2,0.571428571,0.625,0,1,1,24,0.001587592,0,0,0.035444876,
Nimrat Kaur,22,2,0.571428571,0.625,0,1,1,24,0.001587592,0,0,0.035444876,
Sameer Ali Khan,22,2,0.571428571,0.625,0,1,1,24,0.001587592,0,0,0.035444876,
Purab Kohli,22,2,0.571428571,0.625,0,1,1,24,0.001587592,0,0,0.035444876,
Samsara,23,1,1,1,6,4,4,25,0.005756168,0,0,0.071381517,
Ron Fricke,23,2,0.571428571,0.625,0,1,1,25,0.001587592,0,0,0.035444876,
Collin Alfredo St. Dic,23,2,0.571428571,0.625,0,1,1,25,0.001587592,0,0,0.035444876,
Balinese Tari Legong Dancers,23,2,0.571428571,0.625,0,1,1,25,0.001587592,0,0,0.035444876,
Puti Sri Candra Dewi,23,2,0.571428571,0.625,0,1,1,25,0.001587592,0,0,0.035444876,
Whiplash,24,1,1,1,6,4,4,26,0.005756168,0,0,0.071381517,
Damien Chazelle,24,2,0.571428571,0.625,0,1,1,26,0.001587592,0,0,0.035444876,
J.K. Simmons,24,2,0.571428571,0.625,0,1,1,26,0.001587592,0,0,0.035444876,
Melissa Benoist,24,2,0.571428571,0.625,0,1,1,26,0.001587592,0,0,0.035444876,
Chris Mulkey,24,2,0.571428571,0.625,0,1,1,26,0.001587592,0,0,0.035444876,
The Lives of Others,25,1,1,1,6,4,4,27,0.005756168,0,0,0.071381517,
Florian Henckel von Donnersmarck,25,2,0.571428571,0.625,0,1,1,27,0.001587592,0,0,0.035444876,
Sebastian Koch,25,2,0.571428571,0.625,0,1,1,27,0.001587592,0,0,0.035444876,
Ulrich MÌÎ_he,25,2,0.571428571,0.625,0,1,1,27,0.001587592,0,0,0.035444876,
Martina Gedeck,25,2,0.571428571,0.625,0,1,1,27,0.001587592,0,0,0.035444876,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0,23,0.065209337,0.102982948,522,4,4,33,0.004942669,0,0,0.124496442,
Stanley Kubrick,0,22,0.069565217,0.111617096,1360,3,3,33,0.003445515,0,0,0.157743318,
George C. Scott,0,24,0.061238692,0.085066666,0,1,1,33,0.001414358,0,0,0.050291425,
Slim Pickens,0,24,0.061238692,0.085066666,0,1,1,33,0.001414358,0,0,0.050291425,
Keenan Wynn,0,24,0.061238692,0.085066666,0,1,1,33,0.001414358,0,0,0.050291425,
Children of Heaven,26,1,1,1,6,4,4,28,0.005756168,0,0,0.071381517,
Majid Majidi,26,2,0.571428571,0.625,0,1,1,28,0.001587592,0,0,0.035444876,
Bahare Seddiqi,26,2,0.571428571,0.625,0,1,1,28,0.001587592,0,0,0.035444876,
Amir Farrokh Hashemian,26,2,0.571428571,0.625,0,1,1,28,0.001587592,0,0,0.035444876,
Mohammad Amir Naji,26,2,0.571428571,0.625,0,1,1,28,0.001587592,0,0,0.035444876,
WALLÌ´ÌÁE,0,21,0.10738255,0.151499564,522,4,4,46,0.004698105,0,0,0.176329864,
Andrew Stanton,0,22,0.097023153,0.124331925,0,1,1,46,0.001362237,0,0,0.062294712,
John Ratzenberger,0,20,0.119727891,0.17532248,2004.5,4,4,46,0.004065756,0,0,0.326748684,
Fred Willard,0,22,0.097023153,0.124331925,0,1,1,46,0.001362237,0,0,0.062294712,
Jeff Garlin,0,22,0.097023153,0.124331925,0,1,1,46,0.001362237,0,0,0.062294712,
Braveheart,27,1,1,1,6,4,4,29,0.005756168,0,0,0.071381517,
Mel Gibson,27,2,0.571428571,0.625,0,1,1,29,0.001587592,0,0,0.035444876,
Mhairi Calvey,27,2,0.571428571,0.625,0,1,1,29,0.001587592,0,0,0.035444876,
Patrick McGoohan,27,2,0.571428571,0.625,0,1,1,29,0.001587592,0,0,0.035444876,
James Robinson,27,2,0.571428571,0.625,0,1,1,29,0.001587592,0,0,0.035444876,
AmÌÎå©lie,28,1,1,1,6,4,4,30,0.005756168,0,0,0.071381517,
